site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,all_icu_adult,01003,2019,99,97,,137
UCMC,all_icu_adult,01003,2021,32,31,,93
UCMC,all_icu_adult,01059,2019,90,89,,129
UCMC,all_icu_adult,01059,2020,94,93,,138
UCMC,all_icu_adult,01073,2019,73,72,,112
UCMC,all_icu_adult,01073,2023,46,44,,107
UCMC,all_icu_adult,01077,2018,84,83,,129
UCMC,all_icu_adult,01081,2021,58,57,,119
UCMC,all_icu_adult,01083,2023,75,74,,137
UCMC,all_icu_adult,01089,2020,71,70,,115
UCMC,all_icu_adult,01089,2021,19,18,,80
UCMC,all_icu_adult,01089,2022,55,53,,117
UCMC,all_icu_adult,01097,2019,87,86,,126
UCMC,all_icu_adult,01097,2020,23,22,,67
UCMC,all_icu_adult,01117,2022,14,13,,77
UCMC,all_icu_adult,01123,2024,35,34,,119
UCMC,all_icu_adult,02020,2019,32,31,,71
UCMC,all_icu_adult,02020,2021,59,58,,120
UCMC,all_icu_adult,02020,2022,90,89,,153
UCMC,all_icu_adult,02020,2024,27,26,,111
UCMC,all_icu_adult,02122,2024,37,36,,121
UCMC,all_icu_adult,02170,2022,44,44,,107
UCMC,all_icu_adult,02170,2023,54,53,,116
UCMC,all_icu_adult,02170,2024,54,52,,137
UCMC,all_icu_adult,04003,2023,58,57,,120
UCMC,all_icu_adult,04013,2018,52,48,,94
UCMC,all_icu_adult,04013,2019,40,39,,79
UCMC,all_icu_adult,04013,2020,102,96,,141
UCMC,all_icu_adult,04013,2021,40,39,,101
UCMC,all_icu_adult,04013,2022,55,50,,114
UCMC,all_icu_adult,04013,2023,42,36,,99
UCMC,all_icu_adult,04013,2024,49,46,,131
UCMC,all_icu_adult,04015,2021,73,72,,134
UCMC,all_icu_adult,04019,2020,30,29,,74
UCMC,all_icu_adult,04021,2018,32,31,,77
UCMC,all_icu_adult,04021,2021,64,63,,125
UCMC,all_icu_adult,05003,2019,48,47,,87
UCMC,all_icu_adult,05005,2023,34,33,,96
UCMC,all_icu_adult,05005,2024,22,20,,105
UCMC,all_icu_adult,05023,2018,23,23,,68
UCMC,all_icu_adult,05041,2023,62,62,,124
UCMC,all_icu_adult,05045,2024,61,60,,145
UCMC,all_icu_adult,05067,2018,51,50,,96
UCMC,all_icu_adult,05109,2023,52,51,,114
UCMC,all_icu_adult,05119,2024,22,21,,106
UCMC,all_icu_adult,05123,2018,73,72,,118
UCMC,all_icu_adult,05123,2019,63,62,,102
UCMC,all_icu_adult,05125,2019,40,40,,79
UCMC,all_icu_adult,05131,2023,97,95,,158
UCMC,all_icu_adult,05143,2019,63,62,,102
UCMC,all_icu_adult,06001,2020,45,44,,89
UCMC,all_icu_adult,06001,2021,82,81,,143
UCMC,all_icu_adult,06001,2022,48,46,,110
UCMC,all_icu_adult,06001,2023,85,84,,147
UCMC,all_icu_adult,06001,2024,58,57,,142
UCMC,all_icu_adult,06013,2021,95,94,,156
UCMC,all_icu_adult,06013,2024,18,16,,101
UCMC,all_icu_adult,06019,2022,46,46,,109
UCMC,all_icu_adult,06025,2023,59,58,,121
UCMC,all_icu_adult,06037,2018,87,83,,129
UCMC,all_icu_adult,06037,2020,74,71,,115
UCMC,all_icu_adult,06037,2021,76,72,,134
