site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,cardiac_arrest_poa_icu,05041,2023,62,62,,62
UCMC,cardiac_arrest_poa_icu,12035,2019,15,15,,16
UCMC,cardiac_arrest_poa_icu,12086,2024,35,34,,35
UCMC,cardiac_arrest_poa_icu,13097,2020,13,13,,16
UCMC,cardiac_arrest_poa_icu,13121,2023,49,49,,49
UCMC,cardiac_arrest_poa_icu,13135,2020,100,100,,103
UCMC,cardiac_arrest_poa_icu,17007,2024,30,29,,30
UCMC,cardiac_arrest_poa_icu,17019,2019,101,101,,102
UCMC,cardiac_arrest_poa_icu,17019,2024,41,41,,41
UCMC,cardiac_arrest_poa_icu,17031,2018,147,110,,27
UCMC,cardiac_arrest_poa_icu,17031,2019,177,120,,28
UCMC,cardiac_arrest_poa_icu,17031,2020,260,200,,82
UCMC,cardiac_arrest_poa_icu,17031,2021,316,240,,99
UCMC,cardiac_arrest_poa_icu,17031,2022,304,234,,83
UCMC,cardiac_arrest_poa_icu,17031,2023,279,192,,57
UCMC,cardiac_arrest_poa_icu,17031,2024,289,205,,87
UCMC,cardiac_arrest_poa_icu,17043,2018,17,17,,18
UCMC,cardiac_arrest_poa_icu,17043,2019,23,22,,23
UCMC,cardiac_arrest_poa_icu,17043,2020,41,41,,44
UCMC,cardiac_arrest_poa_icu,17043,2022,55,55,,55
UCMC,cardiac_arrest_poa_icu,17043,2023,18,18,,18
UCMC,cardiac_arrest_poa_icu,17043,2024,37,35,,34
UCMC,cardiac_arrest_poa_icu,17075,2018,84,83,,85
UCMC,cardiac_arrest_poa_icu,17077,2024,22,21,,22
UCMC,cardiac_arrest_poa_icu,17089,2019,44,44,,45
UCMC,cardiac_arrest_poa_icu,17089,2024,98,97,,98
UCMC,cardiac_arrest_poa_icu,17091,2018,21,21,,22
UCMC,cardiac_arrest_poa_icu,17091,2021,92,91,,95
UCMC,cardiac_arrest_poa_icu,17091,2022,98,98,,100
UCMC,cardiac_arrest_poa_icu,17091,2023,88,87,,88
UCMC,cardiac_arrest_poa_icu,17091,2024,57,57,,57
UCMC,cardiac_arrest_poa_icu,17097,2021,60,60,,62
UCMC,cardiac_arrest_poa_icu,17097,2022,25,24,,27
UCMC,cardiac_arrest_poa_icu,17097,2023,98,97,,98
UCMC,cardiac_arrest_poa_icu,17097,2024,36,35,,35
UCMC,cardiac_arrest_poa_icu,17105,2023,28,27,,28
UCMC,cardiac_arrest_poa_icu,17107,2020,89,89,,92
UCMC,cardiac_arrest_poa_icu,17111,2018,63,63,,64
UCMC,cardiac_arrest_poa_icu,17111,2022,30,29,,32
