site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,sepsis_ase_icu,01059,2019,90,89,,96
UCMC,sepsis_ase_icu,01081,2021,58,57,,71
UCMC,sepsis_ase_icu,01089,2020,71,70,,86
UCMC,sepsis_ase_icu,02020,2022,90,89,,109
UCMC,sepsis_ase_icu,02170,2022,44,44,,63
UCMC,sepsis_ase_icu,02170,2024,53,52,,76
UCMC,sepsis_ase_icu,04013,2018,50,48,,62
UCMC,sepsis_ase_icu,04013,2020,97,96,,112
UCMC,sepsis_ase_icu,04013,2022,51,50,,70
UCMC,sepsis_ase_icu,04013,2023,37,36,,57
UCMC,sepsis_ase_icu,04013,2024,49,46,,70
UCMC,sepsis_ase_icu,05041,2023,62,62,,82
UCMC,sepsis_ase_icu,05119,2024,22,21,,45
UCMC,sepsis_ase_icu,06019,2022,46,46,,65
UCMC,sepsis_ase_icu,06037,2018,84,83,,97
UCMC,sepsis_ase_icu,06037,2020,72,71,,86
UCMC,sepsis_ase_icu,06037,2021,73,72,,86
UCMC,sepsis_ase_icu,06037,2022,66,65,,85
UCMC,sepsis_ase_icu,06037,2023,52,51,,72
UCMC,sepsis_ase_icu,06037,2024,53,52,,76
UCMC,sepsis_ase_icu,06059,2022,49,48,,68
UCMC,sepsis_ase_icu,06065,2022,100,100,,119
UCMC,sepsis_ase_icu,06067,2024,46,45,,69
UCMC,sepsis_ase_icu,06075,2019,44,43,,50
UCMC,sepsis_ase_icu,06081,2020,42,41,,57
UCMC,sepsis_ase_icu,08031,2019,17,16,,22
UCMC,sepsis_ase_icu,08031,2021,95,95,,108
UCMC,sepsis_ase_icu,08059,2023,11,11,,31
UCMC,sepsis_ase_icu,08069,2021,47,47,,60
UCMC,sepsis_ase_icu,11001,2018,73,71,,85
UCMC,sepsis_ase_icu,11001,2019,48,47,,54
UCMC,sepsis_ase_icu,12009,2021,29,29,,42
UCMC,sepsis_ase_icu,12021,2022,68,67,,87
UCMC,sepsis_ase_icu,12031,2021,65,65,,78
UCMC,sepsis_ase_icu,12035,2019,15,15,,21
UCMC,sepsis_ase_icu,12057,2019,65,64,,71
UCMC,sepsis_ase_icu,12057,2023,43,43,,63
UCMC,sepsis_ase_icu,12073,2022,42,41,,61
UCMC,sepsis_ase_icu,12081,2022,25,25,,44
UCMC,sepsis_ase_icu,12083,2019,18,17,,24
UCMC,sepsis_ase_icu,12086,2022,73,72,,92
UCMC,sepsis_ase_icu,12086,2024,35,34,,58
UCMC,sepsis_ase_icu,12097,2022,23,22,,42
UCMC,sepsis_ase_icu,12099,2021,88,88,,101
UCMC,sepsis_ase_icu,12099,2024,24,23,,47
UCMC,sepsis_ase_icu,12119,2022,11,10,,30
UCMC,sepsis_ase_icu,12127,2019,97,96,,103
UCMC,sepsis_ase_icu,13113,2022,26,26,,45
UCMC,sepsis_ase_icu,13121,2023,49,49,,69
UCMC,sepsis_ase_icu,13135,2020,100,100,,115
UCMC,sepsis_ase_icu,15003,2021,89,88,,102
UCMC,sepsis_ase_icu,17001,2018,61,60,,74
UCMC,sepsis_ase_icu,17001,2019,83,83,,89
UCMC,sepsis_ase_icu,17007,2019,65,65,,71
UCMC,sepsis_ase_icu,17007,2022,19,18,,37
UCMC,sepsis_ase_icu,17011,2019,27,26,,33
UCMC,sepsis_ase_icu,17011,2020,17,16,,32
UCMC,sepsis_ase_icu,17011,2021,38,38,,51
UCMC,sepsis_ase_icu,17011,2024,48,48,,71
UCMC,sepsis_ase_icu,17015,2018,91,90,,104
UCMC,sepsis_ase_icu,17017,2022,63,63,,82
UCMC,sepsis_ase_icu,17019,2019,105,102,,107
UCMC,sepsis_ase_icu,17019,2020,97,97,,112
UCMC,sepsis_ase_icu,17019,2021,101,100,,114
UCMC,sepsis_ase_icu,17019,2022,98,94,,113
UCMC,sepsis_ase_icu,17019,2023,21,18,,37
UCMC,sepsis_ase_icu,17019,2024,43,43,,64
UCMC,sepsis_ase_icu,17023,2022,44,43,,63
UCMC,sepsis_ase_icu,17029,2022,63,62,,82
UCMC,sepsis_ase_icu,17031,2018,977,307,,39
UCMC,sepsis_ase_icu,17031,2019,1183,356,,33
UCMC,sepsis_ase_icu,17031,2020,1423,527,,94
UCMC,sepsis_ase_icu,17031,2021,1436,556,,109
UCMC,sepsis_ase_icu,17031,2022,1362,533,,100
UCMC,sepsis_ase_icu,17031,2023,1298,481,,77
UCMC,sepsis_ase_icu,17031,2024,1350,524,,110
UCMC,sepsis_ase_icu,17033,2019,23,23,,29
UCMC,sepsis_ase_icu,17033,2023,56,55,,76
UCMC,sepsis_ase_icu,17035,2018,33,32,,46
UCMC,sepsis_ase_icu,17035,2019,91,89,,95
UCMC,sepsis_ase_icu,17037,2018,97,96,,110
UCMC,sepsis_ase_icu,17037,2019,62,60,,67
UCMC,sepsis_ase_icu,17037,2020,36,35,,50
UCMC,sepsis_ase_icu,17037,2021,59,58,,71
UCMC,sepsis_ase_icu,17037,2022,72,70,,89
UCMC,sepsis_ase_icu,17037,2023,27,25,,46
UCMC,sepsis_ase_icu,17037,2024,96,94,,118
UCMC,sepsis_ase_icu,17039,2020,63,62,,78
UCMC,sepsis_ase_icu,17043,2018,51,26,,30
UCMC,sepsis_ase_icu,17043,2019,54,31,,28
UCMC,sepsis_ase_icu,17043,2020,65,51,,56
UCMC,sepsis_ase_icu,17043,2021,47,23,,29
UCMC,sepsis_ase_icu,17043,2022,77,59,,72
UCMC,sepsis_ase_icu,17043,2023,57,33,,38
UCMC,sepsis_ase_icu,17043,2024,88,52,,57
UCMC,sepsis_ase_icu,17045,2021,62,61,,75
UCMC,sepsis_ase_icu,17045,2022,57,56,,76
UCMC,sepsis_ase_icu,17049,2019,37,36,,43
UCMC,sepsis_ase_icu,17049,2020,64,64,,79
UCMC,sepsis_ase_icu,17049,2023,67,66,,87
