site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,05041,2023,40-64,Female,1,2,2.0
UCMC,cardiac_arrest_poa_icu,12035,2019,40-64,Female,0,4,
UCMC,cardiac_arrest_poa_icu,12086,2024,18-39,Male,1,1,1.0
UCMC,cardiac_arrest_poa_icu,13097,2020,18-39,Female,0,3,
UCMC,cardiac_arrest_poa_icu,13121,2023,75+,Female,1,0,0.0
UCMC,cardiac_arrest_poa_icu,13135,2020,18-39,Female,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17007,2024,40-64,Male,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17019,2019,40-64,Male,2,3,1.5
UCMC,cardiac_arrest_poa_icu,17019,2024,40-64,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Female,6,0,0.0
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Male,8,7,0.875
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Female,21,17,0.8095238095238095
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Male,33,25,0.7575757575757576
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Female,11,6,0.5454545454545454
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Male,15,10,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Female,22,14,0.6363636363636364
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Male,13,8,0.6153846153846154
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Female,5,6,1.2
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Male,14,6,0.42857142857142855
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Female,34,25,0.7352941176470589
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Male,45,22,0.4888888888888889
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Female,11,12,1.0909090909090908
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Male,21,12,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Female,11,7,0.6363636363636364
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Male,11,3,0.2727272727272727
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Female,13,5,0.38461538461538464
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Male,18,15,0.8333333333333334
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Female,26,15,0.5769230769230769
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Male,64,41,0.640625
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Female,14,16,1.1428571428571428
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Male,21,12,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Female,18,9,0.5
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Male,9,8,0.8888888888888888
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Female,9,7,0.7777777777777778
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Male,23,16,0.6956521739130435
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Female,47,31,0.6595744680851063
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Male,70,46,0.6571428571428571
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Female,21,14,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Male,29,16,0.5517241379310345
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Female,19,13,0.6842105263157895
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Male,6,5,0.8333333333333334
UCMC,cardiac_arrest_poa_icu,17031,2022,18-39,Female,12,4,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,17031,2022,18-39,Male,13,12,0.9230769230769231
UCMC,cardiac_arrest_poa_icu,17031,2022,40-64,Female,35,28,0.8
UCMC,cardiac_arrest_poa_icu,17031,2022,40-64,Male,85,59,0.6941176470588235
UCMC,cardiac_arrest_poa_icu,17031,2022,65-74,Female,15,15,1.0
UCMC,cardiac_arrest_poa_icu,17031,2022,65-74,Male,20,9,0.45
UCMC,cardiac_arrest_poa_icu,17031,2022,75+,Female,23,16,0.6956521739130435
UCMC,cardiac_arrest_poa_icu,17031,2022,75+,Male,18,14,0.7777777777777778
UCMC,cardiac_arrest_poa_icu,17031,2023,18-39,Female,10,7,0.7
UCMC,cardiac_arrest_poa_icu,17031,2023,18-39,Male,17,12,0.7058823529411765
UCMC,cardiac_arrest_poa_icu,17031,2023,40-64,Female,43,26,0.6046511627906976
UCMC,cardiac_arrest_poa_icu,17031,2023,40-64,Male,68,36,0.5294117647058824
UCMC,cardiac_arrest_poa_icu,17031,2023,65-74,Female,23,17,0.7391304347826086
UCMC,cardiac_arrest_poa_icu,17031,2023,65-74,Male,29,18,0.6206896551724138
UCMC,cardiac_arrest_poa_icu,17031,2023,75+,Female,17,11,0.6470588235294118
UCMC,cardiac_arrest_poa_icu,17031,2023,75+,Male,10,8,0.8
UCMC,cardiac_arrest_poa_icu,17031,2024,18-39,Female,9,3,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,17031,2024,18-39,Male,16,9,0.5625
UCMC,cardiac_arrest_poa_icu,17031,2024,40-64,Female,36,13,0.3611111111111111
UCMC,cardiac_arrest_poa_icu,17031,2024,40-64,Male,61,37,0.6065573770491803
UCMC,cardiac_arrest_poa_icu,17031,2024,65-74,Female,28,16,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,17031,2024,65-74,Male,30,21,0.7
UCMC,cardiac_arrest_poa_icu,17031,2024,75+,Female,13,6,0.46153846153846156
UCMC,cardiac_arrest_poa_icu,17031,2024,75+,Male,18,12,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17043,2018,40-64,Male,4,2,0.5
UCMC,cardiac_arrest_poa_icu,17043,2019,40-64,Female,0,4,
UCMC,cardiac_arrest_poa_icu,17043,2019,40-64,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17043,2020,40-64,Male,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17043,2022,40-64,Male,3,0,0.0
UCMC,cardiac_arrest_poa_icu,17043,2022,65-74,Female,0,5,
UCMC,cardiac_arrest_poa_icu,17043,2023,40-64,Male,0,4,
UCMC,cardiac_arrest_poa_icu,17043,2024,18-39,Male,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17043,2024,40-64,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17043,2024,65-74,Male,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17075,2018,40-64,Male,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17077,2024,75+,Male,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17089,2019,40-64,Female,3,3,1.0
UCMC,cardiac_arrest_poa_icu,17089,2024,40-64,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17091,2018,75+,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17091,2021,40-64,Male,3,1,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,17091,2022,65-74,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17091,2023,18-39,Male,1,2,2.0
UCMC,cardiac_arrest_poa_icu,17091,2024,40-64,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17097,2021,18-39,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17097,2021,40-64,Male,3,0,0.0
UCMC,cardiac_arrest_poa_icu,17097,2022,65-74,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17097,2023,18-39,Male,3,1,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,17097,2024,40-64,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17097,2024,75+,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17105,2023,18-39,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17107,2020,40-64,Male,0,4,
UCMC,cardiac_arrest_poa_icu,17111,2018,40-64,Female,3,4,1.3333333333333333
UCMC,cardiac_arrest_poa_icu,17111,2022,65-74,Female,0,2,
UCMC,cardiac_arrest_poa_icu,17111,2024,40-64,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17113,2021,40-64,Male,0,1,
UCMC,cardiac_arrest_poa_icu,17117,2021,40-64,Female,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17119,2022,18-39,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17139,2024,18-39,Male,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17155,2022,40-64,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17165,2023,18-39,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17167,2021,40-64,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17167,2021,65-74,Male,0,3,
UCMC,cardiac_arrest_poa_icu,17177,2023,40-64,Male,4,3,0.75
UCMC,cardiac_arrest_poa_icu,17179,2024,75+,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17183,2020,18-39,Female,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17183,2023,40-64,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17183,2024,18-39,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17195,2022,40-64,Male,3,2,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17197,2018,18-39,Female,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17197,2018,75+,Male,0,3,
UCMC,cardiac_arrest_poa_icu,17197,2020,40-64,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17197,2021,18-39,Female,0,1,
UCMC,cardiac_arrest_poa_icu,17197,2021,40-64,Male,5,0,0.0
UCMC,cardiac_arrest_poa_icu,17197,2022,18-39,Female,1,0,0.0
UCMC,cardiac_arrest_poa_icu,17197,2022,40-64,Male,5,3,0.6
UCMC,cardiac_arrest_poa_icu,17197,2022,65-74,Male,2,0,0.0
UCMC,cardiac_arrest_poa_icu,17197,2023,40-64,Female,0,1,
UCMC,cardiac_arrest_poa_icu,17197,2023,40-64,Male,0,2,
UCMC,cardiac_arrest_poa_icu,17197,2023,65-74,Female,0,3,
UCMC,cardiac_arrest_poa_icu,17197,2023,65-74,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17197,2023,75+,Male,0,0,
UCMC,cardiac_arrest_poa_icu,17197,2024,18-39,Male,0,3,
UCMC,cardiac_arrest_poa_icu,17197,2024,40-64,Female,0,2,
UCMC,cardiac_arrest_poa_icu,17197,2024,40-64,Male,5,5,1.0
UCMC,cardiac_arrest_poa_icu,17197,2024,65-74,Female,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17197,2024,65-74,Male,1,3,3.0
UCMC,cardiac_arrest_poa_icu,17197,2024,75+,Female,2,3,1.5
UCMC,cardiac_arrest_poa_icu,17197,2024,75+,Male,4,1,0.25
UCMC,cardiac_arrest_poa_icu,17199,2021,65-74,Female,0,0,
UCMC,cardiac_arrest_poa_icu,17201,2023,40-64,Female,3,3,1.0
UCMC,cardiac_arrest_poa_icu,17201,2024,18-39,Female,0,1,
UCMC,cardiac_arrest_poa_icu,17201,2024,40-64,Female,3,1,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,17203,2024,40-64,Female,1,3,3.0
UCMC,cardiac_arrest_poa_icu,18089,2018,18-39,Female,0,0,
UCMC,cardiac_arrest_poa_icu,18089,2018,40-64,Female,5,5,1.0
UCMC,cardiac_arrest_poa_icu,18089,2018,40-64,Male,5,0,0.0
