site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,all_icu_adult,01003,2019,0,0,,38
UCMC,all_icu_adult,01003,2021,3,0,0.0,62
UCMC,all_icu_adult,01059,2019,4,3,0.75,38
UCMC,all_icu_adult,01059,2020,1,0,0.0,48
UCMC,all_icu_adult,01073,2019,1,0,0.0,37
UCMC,all_icu_adult,01073,2023,2,2,1.0,62
UCMC,all_icu_adult,01077,2018,1,2,2.0,49
UCMC,all_icu_adult,01081,2021,4,1,0.25,59
UCMC,all_icu_adult,01083,2023,0,3,,61
UCMC,all_icu_adult,01089,2020,0,3,,47
UCMC,all_icu_adult,01089,2021,0,0,,64
UCMC,all_icu_adult,01089,2022,2,0,0.0,62
UCMC,all_icu_adult,01097,2019,2,0,0.0,41
UCMC,all_icu_adult,01097,2020,4,1,0.25,44
UCMC,all_icu_adult,01117,2022,4,0,0.0,63
UCMC,all_icu_adult,01123,2024,3,0,0.0,85
UCMC,all_icu_adult,02020,2019,0,2,,38
UCMC,all_icu_adult,02020,2021,1,3,3.0,62
UCMC,all_icu_adult,02020,2022,0,0,,67
UCMC,all_icu_adult,02020,2024,2,0,0.0,82
UCMC,all_icu_adult,02122,2024,2,2,1.0,86
UCMC,all_icu_adult,02170,2022,0,0,,67
UCMC,all_icu_adult,02170,2023,0,2,,63
UCMC,all_icu_adult,02170,2024,5,1,0.2,83
UCMC,all_icu_adult,04003,2023,0,3,,64
UCMC,all_icu_adult,04013,2018,6,1,0.16666666666666666,43
UCMC,all_icu_adult,04013,2019,0,0,,42
UCMC,all_icu_adult,04013,2020,7,0,0.0,48
UCMC,all_icu_adult,04013,2021,2,0,0.0,63
UCMC,all_icu_adult,04013,2022,4,0,0.0,66
UCMC,all_icu_adult,04013,2023,8,2,0.25,66
UCMC,all_icu_adult,04013,2024,2,0,0.0,82
UCMC,all_icu_adult,04015,2021,2,3,1.5,62
UCMC,all_icu_adult,04019,2020,2,0,0.0,44
UCMC,all_icu_adult,04021,2018,4,2,0.5,48
UCMC,all_icu_adult,04021,2021,1,1,1.0,64
UCMC,all_icu_adult,05003,2019,0,3,,40
UCMC,all_icu_adult,05005,2023,1,3,3.0,66
UCMC,all_icu_adult,05005,2024,0,3,,87
UCMC,all_icu_adult,05023,2018,0,0,,43
UCMC,all_icu_adult,05041,2023,0,1,,62
UCMC,all_icu_adult,05045,2024,0,2,,83
UCMC,all_icu_adult,05067,2018,1,2,2.0,48
UCMC,all_icu_adult,05109,2023,0,3,,65
UCMC,all_icu_adult,05119,2024,3,0,0.0,85
UCMC,all_icu_adult,05123,2018,4,1,0.25,48
UCMC,all_icu_adult,05123,2019,2,0,0.0,42
UCMC,all_icu_adult,05125,2019,3,3,1.0,40
UCMC,all_icu_adult,05131,2023,2,0,0.0,63
UCMC,all_icu_adult,05143,2019,4,3,0.75,42
UCMC,all_icu_adult,06001,2020,3,3,1.0,45
UCMC,all_icu_adult,06001,2021,0,2,,60
UCMC,all_icu_adult,06001,2022,0,0,,64
UCMC,all_icu_adult,06001,2023,3,2,0.6666666666666666,63
UCMC,all_icu_adult,06001,2024,1,0,0.0,85
UCMC,all_icu_adult,06013,2021,0,0,,62
UCMC,all_icu_adult,06013,2024,3,2,0.6666666666666666,83
UCMC,all_icu_adult,06019,2022,1,1,1.0,61
UCMC,all_icu_adult,06025,2023,1,3,3.0,66
UCMC,all_icu_adult,06037,2018,4,2,0.5,43
UCMC,all_icu_adult,06037,2020,5,4,0.8,48
UCMC,all_icu_adult,06037,2021,5,0,0.0,62
UCMC,all_icu_adult,06037,2022,4,0,0.0,66
UCMC,all_icu_adult,06037,2023,2,1,0.5,63
UCMC,all_icu_adult,06037,2024,5,1,0.2,84
UCMC,all_icu_adult,06041,2023,2,0,0.0,63
UCMC,all_icu_adult,06047,2019,3,0,0.0,40
UCMC,all_icu_adult,06059,2018,2,0,0.0,45
UCMC,all_icu_adult,06059,2022,0,0,,63
UCMC,all_icu_adult,06059,2024,4,1,0.25,85
