site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,sepsis_ase_icu,01059,2019,1,2,2.0,9
UCMC,sepsis_ase_icu,01081,2021,0,2,,17
UCMC,sepsis_ase_icu,01089,2020,1,0,0.0,16
UCMC,sepsis_ase_icu,02020,2022,2,3,1.5,17
UCMC,sepsis_ase_icu,02170,2022,3,0,0.0,19
UCMC,sepsis_ase_icu,02170,2024,1,0,0.0,21
UCMC,sepsis_ase_icu,04013,2018,1,2,2.0,11
UCMC,sepsis_ase_icu,04013,2020,0,2,,18
UCMC,sepsis_ase_icu,04013,2022,0,0,,21
UCMC,sepsis_ase_icu,04013,2023,1,0,0.0,24
UCMC,sepsis_ase_icu,04013,2024,5,2,0.4,21
UCMC,sepsis_ase_icu,05041,2023,3,0,0.0,20
UCMC,sepsis_ase_icu,05119,2024,1,0,0.0,25
UCMC,sepsis_ase_icu,06019,2022,0,3,,20
UCMC,sepsis_ase_icu,06037,2018,4,0,0.0,14
UCMC,sepsis_ase_icu,06037,2020,3,3,1.0,16
UCMC,sepsis_ase_icu,06037,2021,0,0,,17
UCMC,sepsis_ase_icu,06037,2022,3,0,0.0,18
UCMC,sepsis_ase_icu,06037,2023,0,3,,19
UCMC,sepsis_ase_icu,06037,2024,4,2,0.5,25
UCMC,sepsis_ase_icu,06059,2022,0,0,,20
UCMC,sepsis_ase_icu,06065,2022,0,4,,20
UCMC,sepsis_ase_icu,06067,2024,0,0,,24
UCMC,sepsis_ase_icu,06075,2019,0,0,,7
UCMC,sepsis_ase_icu,06081,2020,3,0,0.0,14
UCMC,sepsis_ase_icu,08031,2019,0,0,,7
UCMC,sepsis_ase_icu,08031,2021,4,0,0.0,14
UCMC,sepsis_ase_icu,08059,2023,0,0,,21
UCMC,sepsis_ase_icu,08069,2021,2,0,0.0,14
UCMC,sepsis_ase_icu,11001,2018,0,0,,16
UCMC,sepsis_ase_icu,11001,2019,2,1,0.5,9
UCMC,sepsis_ase_icu,12009,2021,0,3,,11
UCMC,sepsis_ase_icu,12021,2022,3,0,0.0,23
UCMC,sepsis_ase_icu,12031,2021,4,2,0.5,12
UCMC,sepsis_ase_icu,12035,2019,2,3,1.5,7
UCMC,sepsis_ase_icu,12057,2019,0,3,,5
UCMC,sepsis_ase_icu,12057,2023,0,0,,23
UCMC,sepsis_ase_icu,12073,2022,3,0,0.0,19
UCMC,sepsis_ase_icu,12081,2022,0,3,,19
UCMC,sepsis_ase_icu,12083,2019,0,0,,9
UCMC,sepsis_ase_icu,12086,2022,0,1,,19
UCMC,sepsis_ase_icu,12086,2024,0,0,,26
UCMC,sepsis_ase_icu,12097,2022,2,0,0.0,22
UCMC,sepsis_ase_icu,12099,2021,3,0,0.0,11
UCMC,sepsis_ase_icu,12099,2024,1,0,0.0,21
UCMC,sepsis_ase_icu,12119,2022,0,0,,17
UCMC,sepsis_ase_icu,12127,2019,3,0,0.0,4
UCMC,sepsis_ase_icu,13113,2022,0,0,,21
UCMC,sepsis_ase_icu,13121,2023,0,2,,19
UCMC,sepsis_ase_icu,13135,2020,3,2,0.6666666666666666,15
UCMC,sepsis_ase_icu,15003,2021,0,1,,13
UCMC,sepsis_ase_icu,17001,2018,3,0,0.0,12
UCMC,sepsis_ase_icu,17001,2019,0,0,,4
UCMC,sepsis_ase_icu,17007,2019,0,0,,5
UCMC,sepsis_ase_icu,17007,2022,5,3,0.6,22
UCMC,sepsis_ase_icu,17011,2019,0,3,,9
UCMC,sepsis_ase_icu,17011,2020,2,0,0.0,17
UCMC,sepsis_ase_icu,17011,2021,2,1,0.5,11
UCMC,sepsis_ase_icu,17011,2024,0,0,,24
UCMC,sepsis_ase_icu,17015,2018,0,1,,12
UCMC,sepsis_ase_icu,17017,2022,0,0,,22
UCMC,sepsis_ase_icu,17019,2019,3,4,1.3333333333333333,4
UCMC,sepsis_ase_icu,17019,2020,3,0,0.0,17
UCMC,sepsis_ase_icu,17019,2021,3,0,0.0,14
UCMC,sepsis_ase_icu,17019,2022,3,1,0.3333333333333333,17
UCMC,sepsis_ase_icu,17019,2023,3,5,1.6666666666666667,21
UCMC,sepsis_ase_icu,17019,2024,3,1,0.3333333333333333,22
UCMC,sepsis_ase_icu,17023,2022,2,0,0.0,19
UCMC,sepsis_ase_icu,17029,2022,3,0,0.0,20
UCMC,sepsis_ase_icu,17031,2018,953,283,0.2969569779643232,17
UCMC,sepsis_ase_icu,17031,2019,1156,331,0.28633217993079585,9
UCMC,sepsis_ase_icu,17031,2020,1342,448,0.33383010432190763,14
UCMC,sepsis_ase_icu,17031,2021,1343,464,0.3454951600893522,12
UCMC,sepsis_ase_icu,17031,2022,1280,455,0.35546875,17
UCMC,sepsis_ase_icu,17031,2023,1239,422,0.34059725585149314,23
UCMC,sepsis_ase_icu,17031,2024,1264,441,0.34889240506329117,21
UCMC,sepsis_ase_icu,17033,2019,0,3,,9
UCMC,sepsis_ase_icu,17033,2023,2,0,0.0,21
UCMC,sepsis_ase_icu,17035,2018,0,3,,15
UCMC,sepsis_ase_icu,17035,2019,1,2,2.0,5
UCMC,sepsis_ase_icu,17037,2018,2,0,0.0,15
UCMC,sepsis_ase_icu,17037,2019,3,0,0.0,7
UCMC,sepsis_ase_icu,17037,2020,5,3,0.6,19
UCMC,sepsis_ase_icu,17037,2021,2,4,2.0,13
UCMC,sepsis_ase_icu,17037,2022,4,2,0.5,17
UCMC,sepsis_ase_icu,17037,2023,0,0,,23
UCMC,sepsis_ase_icu,17037,2024,5,0,0.0,27
UCMC,sepsis_ase_icu,17039,2020,0,3,,14
UCMC,sepsis_ase_icu,17043,2018,35,13,0.37142857142857144,14
UCMC,sepsis_ase_icu,17043,2019,33,13,0.3939393939393939,4
UCMC,sepsis_ase_icu,17043,2020,26,10,0.38461538461538464,13
UCMC,sepsis_ase_icu,17043,2021,32,9,0.28125,13
UCMC,sepsis_ase_icu,17043,2022,27,5,0.18518518518518517,22
UCMC,sepsis_ase_icu,17043,2023,41,16,0.3902439024390244,21
UCMC,sepsis_ase_icu,17043,2024,53,19,0.3584905660377358,21
UCMC,sepsis_ase_icu,17045,2021,1,0,0.0,12
UCMC,sepsis_ase_icu,17045,2022,0,0,,23
UCMC,sepsis_ase_icu,17049,2019,3,3,1.0,8
UCMC,sepsis_ase_icu,17049,2020,2,2,1.0,13
UCMC,sepsis_ase_icu,17049,2023,1,0,0.0,20
UCMC,sepsis_ase_icu,17049,2024,4,3,0.75,21
UCMC,sepsis_ase_icu,17053,2018,0,3,,17
UCMC,sepsis_ase_icu,17053,2020,4,0,0.0,19
UCMC,sepsis_ase_icu,17053,2023,3,0,0.0,19
UCMC,sepsis_ase_icu,17053,2024,4,0,0.0,26
UCMC,sepsis_ase_icu,17057,2018,1,0,0.0,13
UCMC,sepsis_ase_icu,17057,2019,0,2,,6
UCMC,sepsis_ase_icu,17057,2021,5,3,0.6,12
UCMC,sepsis_ase_icu,17063,2018,3,0,0.0,12
UCMC,sepsis_ase_icu,17063,2019,3,0,0.0,8
UCMC,sepsis_ase_icu,17063,2020,4,0,0.0,15
UCMC,sepsis_ase_icu,17063,2021,0,0,,17
UCMC,sepsis_ase_icu,17063,2022,1,0,0.0,17
UCMC,sepsis_ase_icu,17063,2023,4,2,0.5,23
UCMC,sepsis_ase_icu,17063,2024,5,0,0.0,21
UCMC,sepsis_ase_icu,17065,2023,3,3,1.0,24
UCMC,sepsis_ase_icu,17071,2024,2,2,1.0,24
UCMC,sepsis_ase_icu,17073,2019,0,0,,9
UCMC,sepsis_ase_icu,17073,2020,0,0,,19
UCMC,sepsis_ase_icu,17075,2018,8,0,0.0,15
UCMC,sepsis_ase_icu,17075,2019,4,4,1.0,4
UCMC,sepsis_ase_icu,17075,2020,1,0,0.0,18
UCMC,sepsis_ase_icu,17075,2021,0,3,,14
UCMC,sepsis_ase_icu,17075,2022,5,5,1.0,23
UCMC,sepsis_ase_icu,17075,2023,0,0,,24
UCMC,sepsis_ase_icu,17075,2024,4,2,0.5,23
UCMC,sepsis_ase_icu,17077,2023,4,0,0.0,21
UCMC,sepsis_ase_icu,17079,2022,0,0,,17
UCMC,sepsis_ase_icu,17081,2022,0,0,,18
UCMC,sepsis_ase_icu,17081,2024,3,0,0.0,26
UCMC,sepsis_ase_icu,17085,2022,2,3,1.5,19
UCMC,sepsis_ase_icu,17085,2023,0,0,,23
UCMC,sepsis_ase_icu,17089,2018,7,5,0.7142857142857143,17
UCMC,sepsis_ase_icu,17089,2019,6,3,0.5,5
UCMC,sepsis_ase_icu,17089,2020,7,4,0.5714285714285714,16
