site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Black,Not Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Other/Unknown,Unknown,0,0,
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,White,Not Hispanic or Latino,4,4,1.0
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Not Hispanic or Latino,6,3,0.5
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Black,Not Hispanic or Latino,24,18,0.75
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Other/Unknown,Unknown,6,2,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,White,Not Hispanic or Latino,1,2,2.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Black,Not Hispanic or Latino,25,19,0.76
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,2,4,2.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Unknown,2,4,2.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Not Hispanic or Latino,5,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Unknown,0,1,
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,Black,Not Hispanic or Latino,8,3,0.375
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,White,Not Hispanic or Latino,4,4,1.0
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Black,Not Hispanic or Latino,19,12,0.631578947368421
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Not Hispanic or Latino,16,9,0.5625
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Other/Unknown,Unknown,4,1,0.25
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,White,Not Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Not Hispanic or Latino,10,7,0.7
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Unknown,0,2,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,White,Not Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Black,Not Hispanic or Latino,2,5,2.5
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Black,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Other/Unknown,Unknown,0,4,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Black,Not Hispanic or Latino,12,4,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,NHPI,Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Other/Unknown,Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Other/Unknown,Unknown,0,2,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,White,Hispanic or Latino,2,3,1.5
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Black,Not Hispanic or Latino,27,17,0.6296296296296297
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Black,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Other/Unknown,Unknown,4,7,1.75
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,White,Not Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Asian,Not Hispanic or Latino,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Black,Not Hispanic or Latino,43,17,0.3953488372093023
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Not Hispanic or Latino,1,2,2.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,White,Not Hispanic or Latino,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Black,Not Hispanic or Latino,11,10,0.9090909090909091
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Other/Unknown,Not Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,White,Not Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,Black,Not Hispanic or Latino,22,11,0.5
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,Other/Unknown,Unknown,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,White,Not Hispanic or Latino,7,5,0.7142857142857143
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,Black,Not Hispanic or Latino,15,6,0.4
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,White,Not Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Black,Not Hispanic or Latino,5,5,1.0
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Other/Unknown,Hispanic or Latino,0,1,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Other/Unknown,Not Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,White,Not Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Black,Not Hispanic or Latino,11,8,0.7272727272727273
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Not Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Unknown,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Black,Not Hispanic or Latino,15,7,0.4666666666666667
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Not Hispanic or Latino,1,2,2.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Unknown,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,White,Hispanic or Latino,3,3,1.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Black,Not Hispanic or Latino,27,13,0.48148148148148145
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Other/Unknown,Not Hispanic or Latino,3,4,1.3333333333333333
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Black,Not Hispanic or Latino,49,40,0.8163265306122449
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Hispanic or Latino,6,4,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Not Hispanic or Latino,3,8,2.6666666666666665
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Unknown,2,2,1.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,White,Hispanic or Latino,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,White,Not Hispanic or Latino,6,2,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2020,65-74,Female,Black,Not Hispanic or Latino,14,15,1.0714285714285714
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Black,Not Hispanic or Latino,15,8,0.5333333333333333
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Black,Unknown,3,2,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Other/Unknown,Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,White,Hispanic or Latino,3,2,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,White,Not Hispanic or Latino,4,4,1.0
UCMC,cardiac_arrest_poa_icu,2020,75+,Female,Black,Not Hispanic or Latino,18,9,0.5
UCMC,cardiac_arrest_poa_icu,2020,75+,Female,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,Black,Not Hispanic or Latino,5,8,1.6
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,Other/Unknown,Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,White,Not Hispanic or Latino,2,3,1.5
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,Black,Not Hispanic or Latino,9,6,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,Other/Unknown,Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Black,Not Hispanic or Latino,21,13,0.6190476190476191
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Black,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Other/Unknown,Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Other/Unknown,Unknown,0,0,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,White,Not Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,Black,Not Hispanic or Latino,35,25,0.7142857142857143
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,Other/Unknown,Hispanic or Latino,2,3,1.5
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,Other/Unknown,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,Other/Unknown,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,White,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,White,Not Hispanic or Latino,8,1,0.125
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,Asian,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,Black,Not Hispanic or Latino,62,34,0.5483870967741935
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,Other/Unknown,Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,Other/Unknown,Not Hispanic or Latino,8,3,0.375
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,Other/Unknown,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,White,Not Hispanic or Latino,11,2,0.18181818181818182
UCMC,cardiac_arrest_poa_icu,2021,65-74,Female,Black,Not Hispanic or Latino,17,13,0.7647058823529411
UCMC,cardiac_arrest_poa_icu,2021,65-74,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,Black,Not Hispanic or Latino,28,17,0.6071428571428571
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,Black,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,Other/Unknown,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,White,Hispanic or Latino,4,1,0.25
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,White,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2021,75+,Female,Black,Not Hispanic or Latino,19,14,0.7368421052631579
UCMC,cardiac_arrest_poa_icu,2021,75+,Female,Other/Unknown,Not Hispanic or Latino,5,1,0.2
UCMC,cardiac_arrest_poa_icu,2021,75+,Female,White,Not Hispanic or Latino,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2021,75+,Male,Asian,Not Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2021,75+,Male,Black,Not Hispanic or Latino,7,4,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,2021,75+,Male,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,Black,Not Hispanic or Latino,15,5,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,Other/Unknown,Not Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,White,Not Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2022,18-39,Male,Black,Not Hispanic or Latino,15,8,0.5333333333333333
UCMC,cardiac_arrest_poa_icu,2022,18-39,Male,Other/Unknown,Hispanic or Latino,1,4,4.0
UCMC,cardiac_arrest_poa_icu,2022,18-39,Male,Other/Unknown,Unknown,7,6,0.8571428571428571
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,Asian,Not Hispanic or Latino,2,0,0.0
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,Black,Not Hispanic or Latino,34,20,0.5882352941176471
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,Other/Unknown,Hispanic or Latino,0,3,
