site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2018,18-39,Female,Asian,Not Hispanic or Latino,5,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Not Hispanic or Latino,44,8,0.18181818181818182
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Unknown,2,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Hispanic or Latino,6,1,0.16666666666666666
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Unknown,6,4,0.6666666666666666
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Hispanic or Latino,3,2,0.6666666666666666
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Not Hispanic or Latino,13,4,0.3076923076923077
UCMC,sepsis_ase_icu,2018,18-39,Male,Asian,Not Hispanic or Latino,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Not Hispanic or Latino,59,9,0.15254237288135594
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Unknown,4,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Hispanic or Latino,7,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,0,2,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Unknown,0,2,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Hispanic or Latino,3,2,0.6666666666666666
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Not Hispanic or Latino,23,6,0.2608695652173913
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Unknown,4,3,0.75
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Not Hispanic or Latino,5,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Hispanic or Latino,3,3,1.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Not Hispanic or Latino,175,47,0.26857142857142857
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Unknown,2,3,1.5
UCMC,sepsis_ase_icu,2018,40-64,Female,NHPI,Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Hispanic or Latino,7,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,7,4,0.5714285714285714
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Unknown,6,2,0.3333333333333333
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Not Hispanic or Latino,40,13,0.325
UCMC,sepsis_ase_icu,2018,40-64,Male,Asian,Not Hispanic or Latino,8,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Not Hispanic or Latino,170,51,0.3
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Unknown,0,0,
UCMC,sepsis_ase_icu,2018,40-64,Male,NHPI,Not Hispanic or Latino,0,2,
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,7,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,11,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Unknown,14,7,0.5
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Hispanic or Latino,8,3,0.375
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Not Hispanic or Latino,105,34,0.3238095238095238
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Unknown,0,2,
UCMC,sepsis_ase_icu,2018,65-74,Female,Asian,Not Hispanic or Latino,3,3,1.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Not Hispanic or Latino,90,28,0.3111111111111111
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Unknown,3,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Hispanic or Latino,0,3,
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,5,2,0.4
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Hispanic or Latino,2,2,1.0
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Not Hispanic or Latino,48,11,0.22916666666666666
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Unknown,0,4,
UCMC,sepsis_ase_icu,2018,65-74,Male,AIAN,Not Hispanic or Latino,0,2,
UCMC,sepsis_ase_icu,2018,65-74,Male,Asian,Not Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Male,Black,Not Hispanic or Latino,89,26,0.29213483146067415
UCMC,sepsis_ase_icu,2018,65-74,Male,Black,Unknown,4,2,0.5
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Hispanic or Latino,8,2,0.25
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Not Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Unknown,7,1,0.14285714285714285
UCMC,sepsis_ase_icu,2018,65-74,Male,White,Not Hispanic or Latino,92,33,0.358695652173913
UCMC,sepsis_ase_icu,2018,65-74,Male,White,Unknown,3,0,0.0
