site_name,population_id,admit_year,age_band,sex_group,state_fips,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2018,18-39,Female,17,61,13,
UCMC,sepsis_ase_icu,2018,18-39,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,31,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,11,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,17,89,18,
UCMC,sepsis_ase_icu,2018,18-39,Male,18,12,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,04,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,11,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,17,209,57,
UCMC,sepsis_ase_icu,2018,40-64,Female,18,25,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,27,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,04,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,17,269,82,
UCMC,sepsis_ase_icu,2018,40-64,Male,18,43,17,
UCMC,sepsis_ase_icu,2018,40-64,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,22,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,25,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,36,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,17,121,38,
UCMC,sepsis_ase_icu,2018,65-74,Female,18,25,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,20,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,48,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,17,146,46,
UCMC,sepsis_ase_icu,2018,65-74,Male,18,41,15,
UCMC,sepsis_ase_icu,2018,65-74,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,35,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,17,131,47,
UCMC,sepsis_ase_icu,2018,75+,Female,18,11,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,17,99,33,
UCMC,sepsis_ase_icu,2018,75+,Male,18,17,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,12,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,17,77,20,
UCMC,sepsis_ase_icu,2019,18-39,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,24,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,36,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,45,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Male,17,98,14,
UCMC,sepsis_ase_icu,2019,18-39,Male,18,20,<10,
UCMC,sepsis_ase_icu,2019,18-39,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,01,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,08,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,12,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,17,237,77,
UCMC,sepsis_ase_icu,2019,40-64,Female,18,29,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,39,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,48,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,11,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,12,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,17,330,83,
UCMC,sepsis_ase_icu,2019,40-64,Male,18,53,20,
UCMC,sepsis_ase_icu,2019,40-64,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2019,40-64,Male,56,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Female,17,164,51,
UCMC,sepsis_ase_icu,2019,65-74,Female,18,20,<10,
UCMC,sepsis_ase_icu,2019,65-74,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,17,190,60,
UCMC,sepsis_ase_icu,2019,65-74,Male,18,22,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,29,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,39,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,42,<10,<10,
UCMC,sepsis_ase_icu,2019,65-74,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2019,75+,Female,17,130,45,
UCMC,sepsis_ase_icu,2019,75+,Female,18,11,<10,
UCMC,sepsis_ase_icu,2019,75+,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2019,75+,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2019,75+,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2019,75+,Male,17,107,39,
UCMC,sepsis_ase_icu,2019,75+,Male,18,10,<10,
UCMC,sepsis_ase_icu,2019,75+,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,01,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,06,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,13,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,17,85,20,
UCMC,sepsis_ase_icu,2020,18-39,Female,18,10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,34,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Male,17,146,29,
UCMC,sepsis_ase_icu,2020,18-39,Male,18,23,<10,
UCMC,sepsis_ase_icu,2020,18-39,Male,37,<10,<10,
UCMC,sepsis_ase_icu,2020,18-39,Male,47,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Female,04,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Female,17,258,91,
UCMC,sepsis_ase_icu,2020,40-64,Female,18,21,10,
UCMC,sepsis_ase_icu,2020,40-64,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,17,363,116,
UCMC,sepsis_ase_icu,2020,40-64,Male,18,37,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,34,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,45,<10,<10,
UCMC,sepsis_ase_icu,2020,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2020,65-74,Female,17,157,71,
UCMC,sepsis_ase_icu,2020,65-74,Female,18,20,<10,
UCMC,sepsis_ase_icu,2020,65-74,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2020,65-74,Female,36,<10,<10,
UCMC,sepsis_ase_icu,2020,65-74,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2020,65-74,Male,17,214,80,
UCMC,sepsis_ase_icu,2020,65-74,Male,18,29,<10,
UCMC,sepsis_ase_icu,2020,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2020,65-74,Male,28,<10,<10,
UCMC,sepsis_ase_icu,2020,75+,Female,17,153,48,
UCMC,sepsis_ase_icu,2020,75+,Female,18,11,<10,
UCMC,sepsis_ase_icu,2020,75+,Male,17,130,56,
UCMC,sepsis_ase_icu,2020,75+,Male,18,13,<10,
UCMC,sepsis_ase_icu,2020,75+,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Female,17,73,14,
UCMC,sepsis_ase_icu,2021,18-39,Female,18,11,<10,
UCMC,sepsis_ase_icu,2021,18-39,Female,24,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,01,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,08,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,17,161,32,
UCMC,sepsis_ase_icu,2021,18-39,Male,18,20,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,27,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,37,<10,<10,
UCMC,sepsis_ase_icu,2021,18-39,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Female,15,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Female,17,268,87,
UCMC,sepsis_ase_icu,2021,40-64,Female,18,18,<10,
UCMC,sepsis_ase_icu,2021,40-64,Female,19,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Female,48,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,12,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,17,348,128,
UCMC,sepsis_ase_icu,2021,40-64,Male,18,54,19,
UCMC,sepsis_ase_icu,2021,40-64,Male,19,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,24,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,27,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,29,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,36,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,42,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,47,<10,<10,
UCMC,sepsis_ase_icu,2021,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Female,08,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Female,17,172,68,
UCMC,sepsis_ase_icu,2021,65-74,Female,18,13,<10,
UCMC,sepsis_ase_icu,2021,65-74,Female,27,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Female,53,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Male,17,209,68,
UCMC,sepsis_ase_icu,2021,65-74,Male,18,26,11,
UCMC,sepsis_ase_icu,2021,65-74,Male,21,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Male,32,<10,<10,
UCMC,sepsis_ase_icu,2021,65-74,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2021,75+,Female,17,158,74,
UCMC,sepsis_ase_icu,2021,75+,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2021,75+,Female,36,<10,<10,
UCMC,sepsis_ase_icu,2021,75+,Male,17,121,43,
UCMC,sepsis_ase_icu,2021,75+,Male,18,15,<10,
UCMC,sepsis_ase_icu,2022,18-39,Female,04,<10,<10,
UCMC,sepsis_ase_icu,2022,18-39,Female,12,<10,<10,
UCMC,sepsis_ase_icu,2022,18-39,Female,17,83,19,
UCMC,sepsis_ase_icu,2022,18-39,Female,18,16,<10,
UCMC,sepsis_ase_icu,2022,18-39,Female,23,<10,<10,
UCMC,sepsis_ase_icu,2022,18-39,Female,27,<10,<10,
UCMC,sepsis_ase_icu,2022,18-39,Male,17,114,26,
UCMC,sepsis_ase_icu,2022,18-39,Male,18,29,<10,
UCMC,sepsis_ase_icu,2022,18-39,Male,39,<10,<10,
UCMC,sepsis_ase_icu,2022,18-39,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Female,06,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Female,17,262,84,
UCMC,sepsis_ase_icu,2022,40-64,Female,18,30,13,
UCMC,sepsis_ase_icu,2022,40-64,Female,24,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Female,29,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Female,49,<10,<10,
UCMC,sepsis_ase_icu,2022,40-64,Male,02,<10,<10,
