site_name,population_id,admit_year,state_fips,hospitalizations,deaths,missing_county_hospitalizations,mortality_pct
UCMC,all_icu_adult,2018,01,<10,<10,46,
UCMC,all_icu_adult,2018,04,<10,<10,92,
UCMC,all_icu_adult,2018,05,<10,<10,138,
UCMC,all_icu_adult,2018,06,<10,<10,230,
UCMC,all_icu_adult,2018,08,<10,<10,138,
UCMC,all_icu_adult,2018,10,<10,<10,46,
UCMC,all_icu_adult,2018,11,<10,<10,46,
UCMC,all_icu_adult,2018,12,13,<10,460,
UCMC,all_icu_adult,2018,13,<10,<10,230,
UCMC,all_icu_adult,2018,17,4714,511,2438,
UCMC,all_icu_adult,2018,18,678,89,1012,
UCMC,all_icu_adult,2018,19,10,<10,230,
UCMC,all_icu_adult,2018,20,<10,<10,46,
UCMC,all_icu_adult,2018,21,<10,<10,46,
UCMC,all_icu_adult,2018,22,<10,<10,46,
UCMC,all_icu_adult,2018,24,<10,<10,92,
UCMC,all_icu_adult,2018,25,<10,<10,92,
UCMC,all_icu_adult,2018,26,69,<10,1104,
UCMC,all_icu_adult,2018,27,<10,<10,184,
UCMC,all_icu_adult,2018,28,<10,<10,46,
UCMC,all_icu_adult,2018,29,<10,<10,276,
UCMC,all_icu_adult,2018,30,<10,<10,46,
UCMC,all_icu_adult,2018,31,<10,<10,92,
UCMC,all_icu_adult,2018,32,<10,<10,46,
UCMC,all_icu_adult,2018,35,<10,<10,46,
UCMC,all_icu_adult,2018,36,<10,<10,184,
UCMC,all_icu_adult,2018,39,<10,<10,184,
UCMC,all_icu_adult,2018,41,<10,<10,184,
UCMC,all_icu_adult,2018,42,<10,<10,46,
UCMC,all_icu_adult,2018,45,<10,<10,138,
UCMC,all_icu_adult,2018,47,<10,<10,92,
UCMC,all_icu_adult,2018,48,<10,<10,276,
UCMC,all_icu_adult,2018,51,<10,<10,46,
UCMC,all_icu_adult,2018,55,28,<10,782,
UCMC,all_icu_adult,2019,01,<10,<10,160,
UCMC,all_icu_adult,2019,02,<10,<10,40,
UCMC,all_icu_adult,2019,04,<10,<10,40,
UCMC,all_icu_adult,2019,05,<10,<10,160,
UCMC,all_icu_adult,2019,06,<10,<10,120,
UCMC,all_icu_adult,2019,08,<10,<10,80,
UCMC,all_icu_adult,2019,09,<10,<10,40,
UCMC,all_icu_adult,2019,11,<10,<10,40,
UCMC,all_icu_adult,2019,12,15,<10,440,
UCMC,all_icu_adult,2019,13,<10,<10,80,
UCMC,all_icu_adult,2019,16,<10,<10,80,
UCMC,all_icu_adult,2019,17,4827,578,2240,
UCMC,all_icu_adult,2019,18,684,84,1080,
UCMC,all_icu_adult,2019,19,<10,<10,240,
UCMC,all_icu_adult,2019,21,<10,<10,40,
UCMC,all_icu_adult,2019,22,<10,<10,40,
UCMC,all_icu_adult,2019,24,<10,<10,120,
UCMC,all_icu_adult,2019,25,<10,<10,80,
UCMC,all_icu_adult,2019,26,47,<10,520,
UCMC,all_icu_adult,2019,27,<10,<10,160,
UCMC,all_icu_adult,2019,28,<10,<10,80,
UCMC,all_icu_adult,2019,29,12,<10,400,
UCMC,all_icu_adult,2019,32,<10,<10,40,
UCMC,all_icu_adult,2019,34,<10,<10,40,
UCMC,all_icu_adult,2019,36,<10,<10,80,
UCMC,all_icu_adult,2019,37,<10,<10,40,
UCMC,all_icu_adult,2019,39,<10,<10,280,
UCMC,all_icu_adult,2019,42,<10,<10,40,
UCMC,all_icu_adult,2019,45,<10,<10,80,
UCMC,all_icu_adult,2019,47,10,<10,280,
UCMC,all_icu_adult,2019,48,<10,<10,200,
UCMC,all_icu_adult,2019,51,<10,<10,120,
UCMC,all_icu_adult,2019,54,<10,<10,40,
UCMC,all_icu_adult,2019,55,35,<10,600,
UCMC,all_icu_adult,2019,56,<10,<10,80,
UCMC,all_icu_adult,2020,01,<10,<10,135,
UCMC,all_icu_adult,2020,04,<10,<10,90,
UCMC,all_icu_adult,2020,06,<10,<10,225,
UCMC,all_icu_adult,2020,08,<10,<10,45,
UCMC,all_icu_adult,2020,11,<10,<10,45,
UCMC,all_icu_adult,2020,12,11,<10,450,
UCMC,all_icu_adult,2020,13,<10,<10,180,
UCMC,all_icu_adult,2020,15,<10,<10,45,
UCMC,all_icu_adult,2020,17,4950,744,2160,
UCMC,all_icu_adult,2020,18,645,69,900,
UCMC,all_icu_adult,2020,19,<10,<10,315,
UCMC,all_icu_adult,2020,21,<10,<10,45,
UCMC,all_icu_adult,2020,22,<10,<10,45,
UCMC,all_icu_adult,2020,24,<10,<10,45,
UCMC,all_icu_adult,2020,25,<10,<10,135,
UCMC,all_icu_adult,2020,26,30,<10,495,
UCMC,all_icu_adult,2020,27,<10,<10,135,
UCMC,all_icu_adult,2020,28,<10,<10,90,
UCMC,all_icu_adult,2020,29,<10,<10,360,
UCMC,all_icu_adult,2020,30,<10,<10,45,
UCMC,all_icu_adult,2020,31,<10,<10,45,
UCMC,all_icu_adult,2020,32,<10,<10,45,
UCMC,all_icu_adult,2020,34,<10,<10,180,
UCMC,all_icu_adult,2020,36,<10,<10,90,
UCMC,all_icu_adult,2020,37,<10,<10,135,
UCMC,all_icu_adult,2020,39,<10,<10,90,
UCMC,all_icu_adult,2020,40,<10,<10,45,
UCMC,all_icu_adult,2020,45,<10,<10,180,
UCMC,all_icu_adult,2020,46,<10,<10,45,
UCMC,all_icu_adult,2020,47,<10,<10,180,
UCMC,all_icu_adult,2020,48,<10,<10,225,
UCMC,all_icu_adult,2020,50,<10,<10,45,
UCMC,all_icu_adult,2020,51,<10,<10,45,
UCMC,all_icu_adult,2020,53,<10,<10,45,
UCMC,all_icu_adult,2020,55,33,<10,720,
UCMC,all_icu_adult,2021,01,<10,<10,186,
UCMC,all_icu_adult,2021,02,<10,<10,62,
UCMC,all_icu_adult,2021,04,<10,<10,186,
UCMC,all_icu_adult,2021,06,10,<10,434,
UCMC,all_icu_adult,2021,08,<10,<10,124,
UCMC,all_icu_adult,2021,11,<10,<10,62,
UCMC,all_icu_adult,2021,12,28,<10,806,
UCMC,all_icu_adult,2021,13,<10,<10,248,
UCMC,all_icu_adult,2021,15,<10,<10,62,
UCMC,all_icu_adult,2021,17,5157,780,2852,
UCMC,all_icu_adult,2021,18,697,87,1178,
UCMC,all_icu_adult,2021,19,16,<10,682,
UCMC,all_icu_adult,2021,20,<10,<10,124,
UCMC,all_icu_adult,2021,21,<10,<10,124,
UCMC,all_icu_adult,2021,24,<10,<10,124,
UCMC,all_icu_adult,2021,25,<10,<10,124,
UCMC,all_icu_adult,2021,26,43,<10,868,
UCMC,all_icu_adult,2021,27,<10,<10,372,
UCMC,all_icu_adult,2021,28,<10,<10,62,
UCMC,all_icu_adult,2021,29,<10,<10,434,
UCMC,all_icu_adult,2021,32,<10,<10,124,
UCMC,all_icu_adult,2021,34,<10,<10,124,
UCMC,all_icu_adult,2021,36,<10,<10,186,
UCMC,all_icu_adult,2021,37,<10,<10,248,
UCMC,all_icu_adult,2021,39,<10,<10,372,
UCMC,all_icu_adult,2021,41,<10,<10,124,
UCMC,all_icu_adult,2021,42,<10,<10,310,
UCMC,all_icu_adult,2021,45,<10,<10,248,
UCMC,all_icu_adult,2021,47,<10,<10,248,
UCMC,all_icu_adult,2021,48,12,<10,558,
UCMC,all_icu_adult,2021,49,<10,<10,124,
UCMC,all_icu_adult,2021,51,<10,<10,124,
UCMC,all_icu_adult,2021,53,<10,<10,62,
