site_name,population_id,admit_year,state_fips,hospitalizations,deaths,missing_county_hospitalizations,mortality_pct
UCMC,cardiac_arrest_poa_icu,2018,17,128,89,12,
UCMC,cardiac_arrest_poa_icu,2018,18,12,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,48,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,55,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,12,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,17,155,97,<10,
UCMC,cardiac_arrest_poa_icu,2019,18,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,26,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,13,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,17,187,125,20,
UCMC,cardiac_arrest_poa_icu,2020,18,<10,<10,12,
UCMC,cardiac_arrest_poa_icu,2020,47,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,55,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,17,232,147,32,
UCMC,cardiac_arrest_poa_icu,2021,18,10,<10,16,
UCMC,cardiac_arrest_poa_icu,2021,19,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,55,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,17,238,162,27,
UCMC,cardiac_arrest_poa_icu,2022,18,13,12,18,
UCMC,cardiac_arrest_poa_icu,2022,24,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,26,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,28,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,36,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,39,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,48,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,05,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,13,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,17,237,142,10,
UCMC,cardiac_arrest_poa_icu,2023,18,13,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,19,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,55,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,12,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,17,234,134,15,
UCMC,cardiac_arrest_poa_icu,2024,18,12,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,37,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,39,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,48,<10,<10,<10,
UCMC,cardiac_arrest_poa_icu,2024,55,<10,<10,<10,
