site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,05041,2023,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,12035,2019,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,12086,2024,18-39,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,13097,2020,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,13121,2023,75+,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,13135,2020,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17007,2024,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17019,2019,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17019,2024,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Female,23,15,
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Male,33,23,
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Male,18,12,
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Female,19,14,
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Male,10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Male,12,<10,
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Female,31,24,
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Male,46,22,
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Female,14,10,
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Male,20,13,
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Female,13,10,
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Female,11,<10,
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Male,21,16,
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Female,28,16,
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Male,61,43,
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Female,15,13,
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Male,19,13,
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Female,17,<10,
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Male,10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Male,20,14,
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Female,49,30,
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Male,71,44,
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Female,19,14,
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Male,29,17,
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Female,20,14,
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2022,18-39,Female,12,<10,
UCMC,cardiac_arrest_poa_icu,17031,2022,18-39,Male,15,12,
UCMC,cardiac_arrest_poa_icu,17031,2022,40-64,Female,37,25,
UCMC,cardiac_arrest_poa_icu,17031,2022,40-64,Male,85,56,
UCMC,cardiac_arrest_poa_icu,17031,2022,65-74,Female,17,12,
UCMC,cardiac_arrest_poa_icu,17031,2022,65-74,Male,18,11,
UCMC,cardiac_arrest_poa_icu,17031,2022,75+,Female,21,16,
UCMC,cardiac_arrest_poa_icu,17031,2022,75+,Male,19,17,
UCMC,cardiac_arrest_poa_icu,17031,2023,18-39,Female,13,10,
UCMC,cardiac_arrest_poa_icu,17031,2023,18-39,Male,18,13,
UCMC,cardiac_arrest_poa_icu,17031,2023,40-64,Female,43,24,
UCMC,cardiac_arrest_poa_icu,17031,2023,40-64,Male,65,39,
UCMC,cardiac_arrest_poa_icu,17031,2023,65-74,Female,23,16,
UCMC,cardiac_arrest_poa_icu,17031,2023,65-74,Male,31,16,
UCMC,cardiac_arrest_poa_icu,17031,2023,75+,Female,19,12,
UCMC,cardiac_arrest_poa_icu,17031,2023,75+,Male,11,<10,
UCMC,cardiac_arrest_poa_icu,17031,2024,18-39,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17031,2024,18-39,Male,15,<10,
UCMC,cardiac_arrest_poa_icu,17031,2024,40-64,Female,33,13,
UCMC,cardiac_arrest_poa_icu,17031,2024,40-64,Male,58,38,
UCMC,cardiac_arrest_poa_icu,17031,2024,65-74,Female,28,14,
UCMC,cardiac_arrest_poa_icu,17031,2024,65-74,Male,30,20,
UCMC,cardiac_arrest_poa_icu,17031,2024,75+,Female,13,<10,
UCMC,cardiac_arrest_poa_icu,17031,2024,75+,Male,17,10,
UCMC,cardiac_arrest_poa_icu,17043,2018,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2019,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2019,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2020,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2022,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2022,65-74,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2023,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2024,18-39,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2024,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17043,2024,65-74,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17075,2018,40-64,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17077,2024,75+,Male,<10,<10,
UCMC,cardiac_arrest_poa_icu,17089,2019,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17089,2024,40-64,Female,<10,<10,
UCMC,cardiac_arrest_poa_icu,17091,2018,75+,Male,<10,<10,
