site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,01059,2019,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,01081,2021,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,01089,2020,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,02020,2022,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,02170,2022,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,02170,2024,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,04013,2018,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,04013,2018,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,04013,2020,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,04013,2022,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,04013,2023,75+,Female,<10,<10,
UCMC,sepsis_ase_icu,04013,2024,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,04013,2024,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,05041,2023,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,05119,2024,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,06019,2022,65-74,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2018,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2020,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2021,65-74,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2022,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2023,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,06037,2024,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,06059,2022,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,06065,2022,75+,Male,<10,<10,
UCMC,sepsis_ase_icu,06067,2024,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,06075,2019,75+,Male,<10,<10,
UCMC,sepsis_ase_icu,06081,2020,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,08031,2019,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,08031,2021,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,08059,2023,65-74,Male,<10,<10,
UCMC,sepsis_ase_icu,08069,2021,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,11001,2018,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,11001,2018,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,11001,2019,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12009,2021,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12021,2022,75+,Male,<10,<10,
UCMC,sepsis_ase_icu,12031,2021,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12035,2019,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,12057,2019,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,12057,2023,65-74,Male,<10,<10,
UCMC,sepsis_ase_icu,12073,2022,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,12081,2022,65-74,Male,<10,<10,
UCMC,sepsis_ase_icu,12083,2019,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12086,2022,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12086,2024,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,12097,2022,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,12099,2021,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,12099,2024,65-74,Female,<10,<10,
