site_name,population_id,method_id,table_family,file_name,n_rows,release_level,replicate_id,mask_version,notes
UCMC,all_icu_adult,suppress_lt10,site_cohort_summary,site_cohort_summary_suppress_lt10_all_icu_adult_UCMC.csv,1,site,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,all_icu_adult,suppress_lt10,county_year_burden_summary,county_year_burden_summary_suppress_lt10_all_icu_adult_UCMC.csv,1393,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,all_icu_adult,suppress_lt10,county_year_age_sex_summary,county_year_age_sex_summary_suppress_lt10_all_icu_adult_UCMC.csv,2759,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,all_icu_adult,suppress_lt10,year_age_sex_race_ethnicity_summary,year_age_sex_race_ethnicity_summary_suppress_lt10_all_icu_adult_UCMC.csv,669,demo,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,sepsis_ase_icu,suppress_lt10,site_cohort_summary,site_cohort_summary_suppress_lt10_sepsis_ase_icu_UCMC.csv,1,site,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,sepsis_ase_icu,suppress_lt10,county_year_burden_summary,county_year_burden_summary_suppress_lt10_sepsis_ase_icu_UCMC.csv,549,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,sepsis_ase_icu,suppress_lt10,county_year_age_sex_summary,county_year_age_sex_summary_suppress_lt10_sepsis_ase_icu_UCMC.csv,1116,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,sepsis_ase_icu,suppress_lt10,year_age_sex_race_ethnicity_summary,year_age_sex_race_ethnicity_summary_suppress_lt10_sepsis_ase_icu_UCMC.csv,504,demo,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,cardiac_arrest_poa_icu,suppress_lt10,site_cohort_summary,site_cohort_summary_suppress_lt10_cardiac_arrest_poa_icu_UCMC.csv,1,site,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,cardiac_arrest_poa_icu,suppress_lt10,county_year_burden_summary,county_year_burden_summary_suppress_lt10_cardiac_arrest_poa_icu_UCMC.csv,108,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,cardiac_arrest_poa_icu,suppress_lt10,county_year_age_sex_summary,county_year_age_sex_summary_suppress_lt10_cardiac_arrest_poa_icu_UCMC.csv,208,county,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
UCMC,cardiac_arrest_poa_icu,suppress_lt10,year_age_sex_race_ethnicity_summary,year_age_sex_race_ethnicity_summary_suppress_lt10_cardiac_arrest_poa_icu_UCMC.csv,232,demo,,,Count cells below 10 labeled as <10; rates blanked for suppressed table release.
