site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,18-39,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,Asian,Not Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2018,18-39,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,Black,Not Hispanic or Latino,265,14,
UCMC,all_icu_adult,2018,18-39,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,White,Hispanic or Latino,17,<10,
UCMC,all_icu_adult,2018,18-39,Female,White,Not Hispanic or Latino,109,<10,
UCMC,all_icu_adult,2018,18-39,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,Asian,Not Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2018,18-39,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,Black,Not Hispanic or Latino,345,21,
UCMC,all_icu_adult,2018,18-39,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Hispanic or Latino,30,<10,
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,White,Hispanic or Latino,20,<10,
UCMC,all_icu_adult,2018,18-39,Male,White,Not Hispanic or Latino,87,<10,
UCMC,all_icu_adult,2018,18-39,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,Asian,Not Hispanic or Latino,14,<10,
UCMC,all_icu_adult,2018,40-64,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,Black,Not Hispanic or Latino,735,65,
UCMC,all_icu_adult,2018,40-64,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Hispanic or Latino,17,<10,
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,19,<10,
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Unknown,15,<10,
UCMC,all_icu_adult,2018,40-64,Female,White,Hispanic or Latino,22,<10,
UCMC,all_icu_adult,2018,40-64,Female,White,Not Hispanic or Latino,227,19,
UCMC,all_icu_adult,2018,40-64,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,Asian,Not Hispanic or Latino,27,<10,
UCMC,all_icu_adult,2018,40-64,Male,Black,Not Hispanic or Latino,770,80,
UCMC,all_icu_adult,2018,40-64,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Hispanic or Latino,27,<10,
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,37,<10,
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Unknown,32,17,
UCMC,all_icu_adult,2018,40-64,Male,White,Hispanic or Latino,26,<10,
UCMC,all_icu_adult,2018,40-64,Male,White,Not Hispanic or Latino,416,44,
UCMC,all_icu_adult,2018,40-64,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,Black,Not Hispanic or Latino,339,40,
UCMC,all_icu_adult,2018,65-74,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,14,<10,
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Female,White,Not Hispanic or Latino,179,16,
UCMC,all_icu_adult,2018,65-74,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Asian,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2018,65-74,Male,Black,Not Hispanic or Latino,309,36,
UCMC,all_icu_adult,2018,65-74,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Hispanic or Latino,18,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Unknown,19,<10,
